utc_timestamp,Actual,Forecast,Prediction_Std
2020-09-29 03:00:00+00:00,49234.0,48573.000182826014,5950.309504560176
2020-09-29 04:00:00+00:00,56641.0,54743.26167173135,5950.75302186659
2020-09-29 05:00:00+00:00,61230.0,61983.7280496341,5951.021650829104
2020-09-29 06:00:00+00:00,63396.0,63923.169138692436,5950.951203363509
2020-09-29 07:00:00+00:00,64699.0,63487.54606625802,5950.721190327638
2020-09-29 08:00:00+00:00,66008.0,65559.57477389587,5950.736480447537
2020-09-29 09:00:00+00:00,67478.0,68343.62890777012,5951.307496199639
2020-09-29 10:00:00+00:00,67574.0,68174.2210677199,5951.23598951702
2020-09-29 11:00:00+00:00,66534.0,66561.31214315566,5951.31911127437
2020-09-29 12:00:00+00:00,65415.0,64973.648348155046,5951.391578519984
2020-09-29 13:00:00+00:00,64276.0,64562.38399379822,5951.458824588519
2020-09-29 14:00:00+00:00,62336.0,63927.38736810102,5951.5287232630935
2020-09-29 15:00:00+00:00,61883.0,61964.04327625565,5951.448321967745
2020-09-29 16:00:00+00:00,62160.0,61501.57370947638,5951.360944883597
2020-09-29 17:00:00+00:00,63759.0,62622.9030130181,5951.484375431317
2020-09-29 18:00:00+00:00,60830.0,62587.49850661318,5951.550390688887
2020-09-29 19:00:00+00:00,56775.0,57227.68055316294,5951.516006408748
2020-09-29 20:00:00+00:00,53356.0,52749.187941256656,5951.368674762059
2020-09-29 21:00:00+00:00,49467.0,50679.310476343206,5951.356499189176
2020-09-29 22:00:00+00:00,46652.0,47808.342489036295,5951.283984042123
2020-09-29 23:00:00+00:00,44895.0,44276.040726222054,5951.109900096178
2020-09-30 00:00:00+00:00,44159.0,43823.24916242127,5951.047069405788
2020-09-30 01:00:00+00:00,44415.0,44518.05553185695,5951.110022234257
2020-09-30 02:00:00+00:00,45834.0,45789.426909392285,5951.173053349801
